S.N,Actual Value,Predicted Value,News Content
22,0,1,pakistan inch away civil unrest oust imran khan former pm accuse create wave public anger could prove difficult control tuesday two days imran khan oust pakistan prime minister dramatic confidence vote noor alam khan politician former member khan party eat dinner restaurant confront another diner man begin shout traitor american agent turncoat lunge punch khan attempt ignore middle restaurant politician angry voter begin brawl food table go fly noor khan among dozens members imran khan supporters recently switch side vote confidence vote incident culmination mount abuse face recent weeks former prime minister supporters harass face death threats since announce would vote imran khan confidence vote say receive phone call say kill children like benazir bhutto american agent betray prime minister imran khan similar chaos ensue saturday gather punjab assembly mean discuss election new chief minister supporters khan pakistan tehreek e insaf pti party opposition lawmakers begin aggressively confront deputy speaker sardar dost muhammad mazari attack members treasury bench tweet incident khan former information minister close ally fawad chaudhry tweet pakistan inch away fully fledge civil unrest imran khan exercise utmost restraint say soon even able stop angry mob see country plunge civil unrest khan pakistan premier cricketer turn pious islamist prime minister elect wave populist sentiment speak west pakistan powerful political dynasties shroud corruption allegations charisma populist rhetoric never fail pull crowd rally also oversee period huge financial turmoil massive inflation devastate economy lose support powerful military opposition move confidence vote back many khan coalition lose faith prime minister shehbaz sharif leader opposition coalition brother former prime minister nawaz sharif elect national assembly succeed removal khan way lead demise populist politics foster office many fear deep polarisation cultivate khan could prove deeply destabilise pakistan push country greater political turmoil new prime minister know skills administrator charismatic leader might unable contain recent days inflammatory rally cry khan go back campaign trail gusto ghaddari traitors anyone oppose political party media activists intellectuals judiciary tarnish part foreign conspiracy oust pervez hoodbhoy analyst extensively write khan call former prime minister true populist khan polarise pakistan extreme level say hoodbhoy come days chaotic insatiable lust power make truly dangerous country evoke popular anti western sentiment play past four years office khan continue push narrative confidence vote oust foreign conspiracy west cite diplomatic correspondence us prove us vehemently deny definitive proof conspiracy show rare press conference thursday maj gen babar iftikhar spokesperson arm force dismantle khan narrative reject claim diplomatic cable contain evidence foreign interference iftikhar refer diplomatic communication say word conspiracy use think also clarify us never ask army base pakistan something imran khan use evidence us want oust yet stance military establishment wield huge power country also make members target social media campaign lead khan supporters see army play role prime minister fall power tens thousands tweet send recent days criticise army wednesday federal investigation agency fia arrest social media activists reportedly run campaign iftikhar call illegal immoral national interest streets cities towns across pakistan narrative khan victim western conspiracy powerful pervasive thousands continue come protest support address huge crowd wednesday khan say decisive moment arrive nation need choose want slavery liberty us khan accuse opposition leaders import government slave us say supporters would streets fresh elections announce muhammad banaras resident islamabad say khan first prime minister think poor challenge corrupt khan talk islam right kashmiris corruption west us want pakistan great nation support khan fight say banaras reema omer lawyer victim lengthy online troll campaign khan supporters say khan create wave public anger could prove difficult control narrative base evidence whatsoever repeatedly debunk say omer however imran khan follow goebbels playbook use convenient lie evoke strong emotions spew hatred contempt care dangerous effect society khan expect contest next general election likely call end year many predict volatile time ahead pakistan dangerous government say khan wednesday address rally
23,0,0,us urge serbia join sanction ally russia u senate delegation urge serbia join rest europe impose sanction russia bloody campaign ukraine russian offensive ukraine begin zelenskyy belgrade serbia u senate delegation tuesday urge serbia join rest europe impose sanction russia bloody campaign ukraine understand serbia long cultural economic history russia say senator chris murphy ct three member bi partisan delegation meet serbia president aleksandar vucic moment great risk democratic community send unite message consequences russia behavior ukraine tell reporters hope able stand serbia come weeks months send clear message russia although serbia vote favor three unite nations resolutions condemn russian aggression ukraine join international sanction moscow serbia formally seek european union membership depend almost entirely russian energy supply vucic say impose sanction traditional slavic ally moscow would disastrous serbia think make case president vucic say future serbia lie rest europe lie west move direction trade tie business investment say senator jeanne shaheen nh point intent certainly look foreign policy currently place eu important senators also say serbia really want join eu reconsider rapidly arm russian chinese weapons long run think every country need make decision whether security interest best align china murphy say serbia intent member european union probably long term interest security relationship china serbia rapid military buildup region war worry neighbor raise fear west new possible bloodshed balkans earlier month china deliver sophisticate air defense system belgrade despite earlier u warn serbia want join western integrations align military western standards
24,0,0,israeli settlers march west bank amid wave unrest thousands israelis march dismantle settlement deep occupy west bank call rebuild burqa west bank thousands israelis march dismantle settlement deep occupy west bank tuesday call rebuild show strength amid wave israeli palestinian unrest fear escalation army block roads facilitate march lead hard line jewish settlers prevent palestinians reach area dozens palestinian residents protest closure clash break israeli soldier fire rubber bullets tear gas palestinian youths hurl stone burn tire palestinian medics say treat least eight palestinians strike rubber bullets tear gas canisters fire israeli troop adjacent west bank village burqa israelis repeatedly return homesh hilltop settlement emerge symbol settler defiance government dismantle israeli palestinian tensions surge recent weeks series deadly attack inside israel military operations west bank palestinian militants fire rocket gaza strip southern israel first time months israel carry airstrikes days clash israeli police palestinians flashpoint holy site jerusalem unrest raise fear repeat last year protest clash jerusalem help ignite day gaza war shrine know muslims al aqsa mosque compound jews temple mount emotional epicenter decades long israeli palestinian conflict israel say security force enter site response palestinian rock throw commit ensure jews christians muslims worship freely holy land palestinians view presence israeli security force al aqsa visit nationalist religious jews provocation israel face intense criticism jordan serve custodian site well egypt arab state make peace israel decades ago unite arab emirates lead way normalize relations israel part call abraham accord summon recently appoint israeli ambassador tuesday uae say israel need fully protect worshippers respect right palestinians practice religious rites stop practice violate sanctity al aqsa mosque accord statement carry state run wam news agency turkish president recep tayyip erdogan say discuss violence telephone call israel largely ceremonial president isaac herzog sensitive period would like emphasize need allow provocations threats status spirituality al aqsa mosque erdogan say unusually mute statement erdogan outspoken critic israel policies toward palestinians past turkey whose economy crisis try normalize fray tie israel regional countries herzog visit turkey last month become first israeli leader visit years u n security council emerge close door session tuesday unanimous message tensions though envoys ireland france estonia norway albania stand together express concern call respect arrangements holy sit restraint side condemn rocket fire gaza act terrorism unite state israel closest ally also call side exercise restraint march occupy west bank several thousand israelis include young children walk roughly two kilometers one mile homesh organizers stag festivities attend religious nationalist politicians rabbis israeli military formally authorize march close roads separate settlers palestinians allow hold israel capture west bank mideast war decades since build dozens settlements home israelis palestinians seek territory home nearly million palestinians main part future independent state international community consider settlements illegal israel view west bank historical biblical heartland jewish people peace process grind halt decade ago settlement homesh build private palestinian land occupy west bank dismantle years since israeli settlers stag several march rally attempt rebuild violation israeli law military order december palestinian militants kill jewish settler near site former settlement month earlier six palestinian farmers hospitalize settlers attack metal batons stone ben zion report jerusalem associate press writers joseph krauss jerusalem isabel debre dubai unite arab emirates suzan fraser ankara turkey jennifer peltz unite nations contribute report
25,0,0,south africa launch relief durban flood dead declare national state disaster south africa allocate million help hit flood kill least people eastern city durban surround kwazulu natal province major flood kill hundreds south africa johannesburg declare national state disaster south africa allocate million help hit flood kill least people eastern city durban surround kwazulu natal province nearly home destroy people displace flood mudslides cause prolong heavy rain provincial officials say tuesday people remain miss school hit damage estimate million accord officials south africa military deploy troop operation chariot help continue search rescue efforts deliver food water clothe flood victims rebuild collapse roads bridge water tankers send areas access clean water disrupt team work restore electricity large areas students shovel mud school flood visit flood areas last week south african president cyril ramophosa blame climate change unprecedented rain heaviest least years announce state disaster televise address monday night ramaphosa pledge government fund flood victims lose corruption room corruption mismanagement fraud sort say ramaphosa learn experience covid pandemic draw together various stakeholders part oversight structure ensure fund disburse respond disaster properly account state receive value money say ramaphosa remark come widespread graft uncover state special investigate unit state fund suppose help nation respond covid pandemic former health minister zweli mkhize resign investigation find businesses link family benefit inflate covid contract department despite ramaphosa pledge many south africans skeptical government fund flood relief divert corruption several businesses prominent south africans charities pledge money private organizations south african businessman patrice motsepe ramaphosa brother law make one biggest donations pledge million gift givers south african base disaster relief organization university johannesburg say also donate fund directly gift givers south african bear hollywood actress charlize theron also appeal fund flood relief africa outreach project south africa national state disaster covid since march lift two weeks ago reinstate response durban flood story correct show people miss kwazulu natal correct spell
26,0,1,michelle obama brother wife sue children former school craig kelly robinson allege school systemic racist issue michelle obama brother wife speak suit children former school private school milwaukee face lawsuit two famous parent craig robinson brother former first lady michelle obama wife kelly robinson sue university school milwaukee allege expel two young sons raise concern racial socio economic bias school robinsons live milwaukee wisconsin enrol two children year old year old usm pre kindergarten grade school school expel older child april younger son june eventually lead couple sue usm monday robinsons speak good morning america tuesday follow legal action move forward couple reason want hold university school milwaukee accountable two children retaliate importantly whole community people feel right happen move forward craig robinson say third reason need stop change help students university school milwaukee school reason childrens dismissal accord letter send couple robinsons fulfil forego commitments partner usm middle school teachers administrators craig kelly robinson say lawsuit prior conversations school administrators racial ethnic stereotype virtual classroom assignments school serve complaint time review allegations position comment pending legal matter time steve hancock head school university school milwaukee say statement gma robinsons say start notice issue kid classroom assignments covid pandemic lawsuit couple say communicate usm concern usm failure provide supportive inclusive learn environment promise enrollment contract usm middle school handbook usm common trust furthermore couple allege suit usm act toward model students color none respect trust honesty fairness even basic kindness mandate common trust craig kelly robinson say also recall time students deny chance test math class white students able take exam accord suit lot parent hear go classroom covid repeat use racial ethnic stereotype actual assignments craig robinson say use word plantation things nature addition racial ethnic stereotype insensitivity socioeconomic status well disregard children physically classroom add initial response communication give suggestions summarily dismiss school year robinsons raise concern usm treatment students color underrepresented students accord lawsuit robinsons communicate directly usm faculty staff inclusion language various worksheets project offensive persons color persons disabilities indigenous americans underrepresented students kelly robinson also submit two separate bias incident report january march outline husband concern classwork contain socioeconomic insensitivities couple say suit first bias notice put report tell report system work tell gma head school tell bias time follow bias report instead acknowledge work make better end dismiss students suit claim school take action respond report instead terminate sons enrollment usm claim letter write couple robinsons repeatedly engage disrespectful demand communications teachers administrators robinsons express experience school say issue see part broader pattern extend many years addition allege racial slur use white students usm make aware past two years one school activity accord suit dub underground railroad also flag concern parent accord lawsuit underground railroad simulation students color tell act like runaway slave usm faculty act slave catchers program discontinue multiple students color usm parent black alumni others protest insensitivity couple say suit recently years ago university school milwaukee fourth grade curriculum students reenact underground railroad students dress slave run school dark teachers actually slave master capture students kelly robinson say add hear stories understand pain families go one reason want come forward story couple say hope lawsuit put pressure school create inclusive diverse environment accord suit
27,0,0,netflix share drop service lose subscribers netflix suffer first subscriber loss decade cause share plunge extend trade amid concern pioneer stream service may already see best days netflix report loss subscribers san francisco netflix suffer first subscriber loss decade cause share plunge extend trade amid concern pioneer stream service may already see best days company customer base fell subscribers january march period accord quarterly earn report release tuesday first time netflix subscribers fall since stream service become available throughout world outside china six years ago drop year stem part netflix decision withdraw russia protest war ukraine result loss subscribers netflix acknowledge problems deep root project loss another million subscribers april june period stock drop extend wednesday regular trade session netflix share lose half value far year wipe billion shareholder wealth less four months netflix hop reverse tide take step previously resist include block share account introduce lower price ad support version service aptus capital advisors analyst david wagner say clear netflix grapple impose challenge wo man land wagner write research note tuesday netflix absorb biggest blow since lose subscribers result unveil plan begin charge separately nascent stream service bundle free traditional dvd mail service customer backlash move elicit apology netflix ceo reed hastings botch execution spin latest subscriber loss far worse forecast netflix management conservative gain million subscribers news deepen trouble mount stream since surge signups captive audience pandemic begin slow mark fourth time last five quarter netflix subscriber growth fall gain previous year malaise magnify stiffen competition well fund rival apple walt disney setback follow company addition million subscribers weakest annual growth since contrast increase million subscribers people corral home starve entertainment netflix able quickly easily provide stockpile original program netflix previously predict regain momentum tuesday face issue bogging covid create lot noise read situation hastings say video conference review latest number among things hastings confirm netflix start crack share subscriber passwords enable multiple households access service single account change likely roll next year los gatos california company estimate million households worldwide watch service free use account friend another family member include million u canada million households already choose view netflix hastings say love service get get pay degree stop practice prod people pay account netflix indicate expand test introduce last month chile peru costa rica allow subscribers add two people live outside households account additional fee netflix end march million worldwide subscribers subscriber downturn clip netflix finance first quarter company profit fell last year billion per share revenue climb last year nearly billion pandemic ease people find things video stream service work hard lure new viewers award win program apple instance hold exclusive stream right coda eclipse netflix power dog among movies win best picture last month academy award escalate inflation past year also squeeze household budget lead consumers rein spend discretionary items despite pressure netflix recently raise price u greatest household penetration trouble find subscribers recent quarter netflix lose subscribers u canada prompt management point future growth come international market netflix also try give people another reason subscribe add video game extra charge feature begin roll last year
28,0,0,tennessee governor decline intervene execution loom tennessee governor say intervene state plan execute inmate convict kill estrange wife sons decades ago location april nashville tenn tennessee governor say tuesday intervene schedule execution later week inmate convict fatally stab shoot estrange wife sons decades ago attorneys year old oscar smith ask republican gov bill lee clemency cite problems jury trial smith set receive lethal injection thursday lee issue one sentence statement decline step thorough consideration oscar smith request clemency extensive review case state tennessee sentence stand intervene lee write smith convict fatally stab shoot judith smith sons jason chad nashville home oct davidson county jury sentence death follow year smith maintain innocent attorneys deny request reopen case new type dna analysis find dna unknown person one murder weapons state put inmates death since february nicholas sutton die electric chair executions put hold covid pandemic
29,0,1,lawless log drc raise concern forest deal sign boris johnson critics say cash uk norway france germany could waste damn report reveal illegalities corruption environmental crimes environmental group raise concern forest protection deal sign boris johnson damn report democratic republic congo lawless log sector johnson sign letter intent behalf central african forest initiative cafi year agreement include objectives protect high value forest peatlands commit protect congo basin uk give cafi aid budget begin april drc government release long await audit country log industry find six successive minister illegally allocate least log concessions break near year moratorium new industrial fell world second largest rainforest royalties pay government operators due chaotic situation accord audit mark first step deal drc donors sign first day glasgow unlock protect vast ecosystem environmental group say taxpayer money uk norway france germany could go waste action take illegal concessions moratorium industrial log due lift end year drc environment ministry issue review forest concession contract audit environmental group demand suspensions prosecutions violations know lungs africa congo basin rainforest home endanger forest elephants gorillas enormous carbon store sustain rainfall far away egypt home million people absorb world annual carbon emissions irene wabiwa betoko congo basin forest lead greenpeace say audit reveal circus illegalities corruption crimes environment greenpeace africa demand legal investigation officials responsible plunder rainforest necessary lift parliamentary immunity despite ban new industrial log drc one highest rat deforestation world lose hectares acres primary rainforest accord global forest watch lord goldsmith minister international environment visit region last month drc fail meet first step agreement publish audit start january statement say trip great opportunity speak leaders one important biodiversity rich areas earth leadership congo basin countries hugely impactful big promise make donor countries congo basin countries determine promise keep say cafi coalition donor countries make deal drc welcome release audit say money release yet statement guardian commend publication report drc inspection g n rale des finance log concessions say would continue work collaboration drc government strengthen forest governance cafi remain commit support drc help ensure objectives commitments outline letter intent meet say find age extinction coverage follow biodiversity reporters phoebe weston patrick greenfield twitter latest news feature
30,0,0,russia take donbas town ukrainian frontline still hold ukrainian troop force withdraw small city kreminna ferocious assault russia move towards kramatorsk russia large scale offensive seize donbas region way tuesday troop overrun city kreminna eastern ukraine begin advance towards strategic ukrainian military hub kramatorsk regional governor say ukrainian soldier abandon kreminna city people come ferocious russian attack assault take place side say first victory moscow since battle donbas begin monday kreminna control orcs enter city serhiy haidai governor luhansk region tell brief defenders withdraw entrench new position continue fight russian army haidai say impossible know many civilians kill official statistics dead reality many say street fight take place four people shoot russians try escape car city already pulverise extensive russian shell locate close territory hold pro moscow separatists russian force creep towards cities sloviansk kramatorsk miles south east meanwhile south moscow edge closer full control mariupol would biggest prize since invade ukraine february relentless bombardment street fight leave much city pulverise kill least people ukrainian estimate tuesday even accord report could independently verify guardian russian defence ministry offer ceasefire wednesday outgunned outnumber ukrainian soldier hole thousands civilians azovstal iron steelworks one europe biggest metallurgical plant earlier day russia call ukrainian force immediately lay arm issue new ultimatum defenders end resistance ukrainian force ignore previous ultimatum sunday video address late monday night ukraine president volodymyr zelenskiy say second phase vladimir putin invasion begin statement russia foreign minister sergei lavrov confirm visit india significant part entire russian army concentrate offensive zelenskiy say late last month kremlin give violent attempt seize kyiv say new war goal conquer administrative border luhansk donetsk regions involve overcome ukraine experience well dig eastern army oleksiy arestovych zelenskiy aide predict new russian offensive would fail insufficient force achieve breakthrough another senior adviser mykhailo podolyak say hubristic kremlin make mistake kyiv reportedly expect capture hours russians love tell fairytales tweet sarcastically far accord ukrainian officials frontline ukrainian control donbas still hold ukrainian military expert oleh zhdanov describe kreminna northern luhansk region weak spot moscow troop frequently attack ukrainian position side say zhdanov occupy jump point three side donbas region north east south institute study war us thinktank say russian force may able take territory superior number artillery stress however russian operations unlikely dramatically successful previous major offensives around kyiv russian military unlikely address root cause poor coordination inability conduct cross country operations low morale impede prior offensives northern kharkiv region ukrainian force mount several successful counterattack recapture villages bairak bobrivka north east kharkiv city hurisivka another village kharkiv izyum russia assemble formidable attack force monday oleksandr motuzianyk spokesperson ukraine ministry defence say izyum area highest concentration russian troop izyum regard centuries gateway donbas region eastern ukraine black sea fell fully russian force april trap thousands civilians city many residential build destroy enemy accumulate force izyum unfortunately predominant number manpower heavy equipment maksym strelnyk deputy mayor manage leave thousands fellow citizens town capture tell guardian russians try move direction donetsk region serious successes use izyum foothold offensive concentrate force city set barrack ammunition depots hospitals canteens mayor besiege ukrainian city mariupol allege civilians forcibly move russia russian control regions ukraine unfortunately declare today forcibly deport vadym boichenko tell ukrainian tv verify municipal register already deport people fall mariupol largest trade port sea azov ukraine export grain iron steel heavy machinery would economic blow ukraine symbolic victory russia town base ukrainian arm force serve land corridor donbas crimea moscow capture mariupol would first big city fall mark perhaps russia biggest gain nearly two month war
31,0,0,us cuban officials hold talk amid tensions migration cuba say us sanction decision close american consular section havana encourage cubans seek riskier rout us american cuban officials due meet washington thursday discuss migration concern people familiar matter say highest level formal us talk havana since joe biden take office last year meet come time biden administration grapple rise number undocumented migrants attempt cross us border mexico cubans make grow portion tensions washington havana cuban government crackdown protest continue american sanction communist rule island issue make difficult countries cooperate challenge irregular migration lead cuban delegation deputy foreign minister carlos fernandez de cossio two source say speak condition anonymity delegation expect meet senior officials us state department agencies us want cuba take back deportees among record number cubans arrive us mexico border accord us official another source speak condition anonymity cuba say support legal orderly safe migration blame us uptick irregular migration say cold war era sanction decision close american consular section havana encourage cubans seek riskier rout leave island state department last month say would begin process visa cubans havana start reduce backlog four year hiatus progress slow see significant increase irregular cuban migrants unite state via land maritime rout state department spokesperson say cubans currently rank second largest group arrive unite state south west border spokesperson ask name decline confirm plan meet say regularly engage cuban officials issue importance us government human right migration thursday plan talk appear higher level know formal contact since biden take office january cuban government immediately respond question seek comment talk schedule hold day us secretary state antony blinken regional counterparts due wrap conference migration panama cuba due attend conference record number migrants attempt cross us mexican border biden first year office american officials prepare even higher number year amid cuba falter economy nicaragua lift visa requirements cubans november many drop everything sell home take flight managua hop head north central america us nicaragua close regional ally cuba say move intend promote commercial exchange tourism humanitarian family relations initial fervor follow frustration us undertake regional effort curb border cross number cubans apprehend us mexico border reach february highest single month total record accord us customs border protection data even washington havana prepare engage migration biden administration officials mindful ease restrictions cuba could lead political fallout conservative cuban americans key vote bloc south florida donald trump roll back historic rapprochement predecessor barack obama oversee us old cold war foe
32,0,0,scott morrison fend claim solomon islands china pact worst foreign policy failure since prime minister defend canberra calibrate approach honiara try turn criticism back labor prime minister scott morrison fend accusations responsible worst australian foreign policy failure pacific since end second world war solomon islands strike new security pact china labor seize new agreement evidence australia asleep wheel china cement influence region leader anthony albanese say do prevent go ahead coalition last week dispatch minister pacific zed seselja honiara respectfully ask solomon islands prime minister manasseh sogavare consider sign propose security agreement china appeal fell deaf ears sogavare confirm country parliament wednesday pact sign say believe would affect peace harmony region morrison defend send seselja instead foreign minister marise payne sky news report host fundraiser sydney time judgement make engage foreign minister level engagement ensure australia view communicate clearly respectfully morrison say conscious visit perceive within pacific right calibrate way address issue prime minister one things pacific throw weight around sovereign country respect sovereignty albanese say australia relationship solomon islands crucial strategic importance criticise government fail act warn last august deal imminent visit foreign minister visit defence minister engagement serious way prime minister sogavare albanese say whether bushfires whether order enough vaccines whether order rapid antigen test whether respond flood prime minister complacent always photo op never follow never right plan get ahead issue solomon islands opposition leader matthew wale tell abc last month warn australian officials august last year potential deal disappoint response wale call sogavare make public text agreement us criticise shadowy deal strike little regional consultation sustain question government approach solomon islands deal wednesday morrison say move china surprise government highlight always incredible pressure pacific nations come china seek undermine security region focus much pacific know risk think see highlight risk prime minister say always prevent circumstances sort pressure influence seek exert region real many many years seek resist do fear would see even significant events take place later press conference morrison also seek turn criticism back labor say opposition passive come risk present china region email sign daily morning brief newsletter app download free app never miss biggest stories get weekend edition curated selection week best stories social follow us youtube facebook instagram twitter tiktok podcast listen daily episodes apple podcast spotify search full story favourite app critical government critical personally strong stand take relation china influence australia across pacific australia ally concern new agreement give china right protect investments region pave way military base establish region less australia coastline sogavare explicitly rule do little ease fear security officials canberra washington monday white house say high level us delegation include indo pacific coordinator kurt campbell would travel honiara week discuss concern china well reopen us embassy statement wednesday us embassy canberra say concern agreement could undermine free open indo pacific particular concern agreement lack transparency well apparently vague expansive provision visit singapore new zealand prime minister jacinda adern say solomon islands free make sovereign decisions previously agree pacific island forum discuss defence matter make decisions continue reiterate solomons china view alongside pacific collectively ready available meet security need neighbour ardern say concern militarisation pacific continue call solomons work pacific concern around security may sogavare tell parliament deal would allow build strengthen police capability deal future instability solomon islands people republic china security cooperation base mutual respect sovereignty compliance domestic international law say let assure people solomon islands enter arrangement china eye wide open guide national interest
33,0,0,us seek seize superyacht fiji believe own russian oligarch amadea widely believe own russian oligarch suleiman kerimov us eu sanction unite state seek seize superyacht suspect belong russian oligarch dock pacific island nation fiji restrain order file tuesday fiji director public prosecutions show luxury vessel amadea widely believe own russian oligarch suleiman kerimov subject economic sanction unite state european union impose response russia activities syria ukraine vessel arrive fiji week ago leave mexico days earlier cross pacific authorities various countries seize luxury vessels villas own russian billionaires response sanction impose russia invasion ukraine russia call special military operation fiji director public prosecutions christopher pryde file application high court seek prevent amadea leave fiji application request motor yacht amadea restrain leave fijian water finalisation application register warrant seize property ii us warrant seize amadea register us embassy immediately respond request comment last week say unite state commit find seize assets oligarchs support russian federation brutal unprovoked war choice ukraine court hear application superyacht agent fiji act amadea tell reuters last week vessel lawyers contest suleiman owner registration record view reuters show yacht register company cayman islands kerimov sanction unite state response russia action syria ukraine
34,0,0,telstra buyout digicel pacific mobile network threaten discriminatory new png tax tax company control market arbitrary perplex say telco digicel digicel group say consider legal options papua new guinea impose tax telecoms firm say potential implications plan au sale pacific biggest mobile network australia telstra telstra corp ltd say last october would buy pacific operations digicel deal largely fund australian government see observers way block china rise influence region operations include mobile phone subscribers across png fiji vanuatu tonga samoa nauru digicel irish founder denis brien meet png prime minister jam marape last week try resolve matter digicel say statement monday say new arbitrary company specific tax introduce march perplex digicel also papua new guinea economy give reputational credit rat implications sudden bizarre unprecedented tax act impose one time tax liability digicel equal penalty non payment statement say matter require urgent resolution give implications sale digicel pacific operations telstra also give knock consequences foreign direct investment exit papua new guinea statement say digicel engage discussions papua new guinea government relevant stakeholders marape office immediately respond request comment telstra spokesman say statement png tax matter current owner digicel pacific response reuters question say still await png regulatory approvals deal acquisition digicel pacific telstra partnership australian government yet receive regulatory approvals complete yet telstra say tax first flag last november png outline budget measure parliament tell digicel hold retail mobile voice internet market tax apply company control png market telecommunications bank bank south pacific company affect tell australian stock exchange friday tax come effect march must pay annually september
35,0,1,six kill bomb blast shia school afghan capital two explosions rock boys school kabul students come morning class least six people kill wound two bomb blast boys school hazara shia neighbourhood afghan capital kabul frequency bomb blast country decline significantly since taliban oust us back afghan government august last year islamic state claim several attack kabul police spokesperson khalid zadran say tuesday blast abdul rahim shahid school cause improvise explosive devices say third blast english language centre area specify whether cause explosive school area inhabit mainly hazara community previously target tuesday blast occur students come morning class witness say image post social media network show several body lie gate inside school compound taliban officials see cordoning area taliban blame previously attack target hazaras make country million population taliban insist force defeat analysts say jihadist group key security challenge hardline islamists rule afghanistan since seize power taliban regularly carry raid suspect hideouts mainly eastern nangarhar province claim deadliest attack afghanistan recent years may last year least people mainly female students kill wound three bomb explode near school dasht e barchi group claim responsibility october claim suicide attack educational centre area kill people include students may group blame attack maternity ward hospital neighbourhood kill people
36,0,0,israeli city jewish residents form arm self defence group formation citizens militia lod central israel follow spate palestinian attack across country jewish residents central israeli city form arm group say self defence string palestinian attack across country spark fear new wave internal violence mix city lod near tel aviv become focal point communal bloodshed flare israel last year government police struggle control clash arabs jews personally see need carry weapon friends weapons certainly weaponry doctor medics say michael lichtenstein term security coordinator group volunteer serve group base ramat elyashiv jewish area city stronghold rightwing religious nationalists lod residents say yet see group streets accord organiser volunteer already active deter allege harassment jewish children arab youths albeit without use gun arab residents city see new group militia could target accuse mayor lod yair revivo back establishment israeli far right potentially volatile development welcome boost police obligation right citizen defend take priority problem anyone think people criminals say knesset member simcha rothman religious zionism opposition party move lod temporarily settlement occupy west bank word bolster jewish community threaten arabs last month bloodiest attack greater tel aviv years israel hard right prime minister call citizens gun licence arm expect israeli citizens vigilance responsibility naftali bennett say video statement whoever gun licence time carry dramatic rise applications gun licence israel accord local channel television news wake attack israeli troop respond deadly raid across west bank cause deaths civilians well militants critics say add fuel fire lod notorious crime gun violence among minority arab residents offer microcosm arab jewish tensions rise across israel occupy palestinian territories rothman relocation show conflict west bank import israel proper hardcore religious jewish nationalists fuel tensions area israel capture lichtenstein hardline nationalists israel future stake worry afraid police police collect weapons army lose deterrence say chen masika history teacher support lichtenstein efforts say two side enter battle existence jews lod throughout israel stake want everything judea samaria say use biblical term west bank leaders lod arabs well leftwing jewish israeli observers say formation militias help push city fresh explosion violence live together goal deter us jews frighten us ask fada shehada arab city councillor last year city streets resemble war zone arabs jews attack muslim grave vandalise synagogues torch lod arab community descendants palestinians stay country war surround israel creation estimate others expel flee life relatively calm lod know lydda arabic today arab jewish residents say israeli police enough protect lichtenstein serve years israeli army logistics officer say new force would use weapons accordance law backers say group regular contact police mayor revivo office internal security minister omer bar lev respond query article arm force prim protect jewish residents precisely could fresh oubreak violence lichtenstein say know events break police reach first hours preparedness first hours police come issue safeguard neighbourhood families live lod security volunteer group distinct vest hat lichtenstein say resident come mosque say close relative musa hassouna arab lod resident shoot dead last year say expect violence point towards nearby jewish neighbourhood add settlers jewish israeli yigal yehoshua also kill may violence result stone throw car lod jewish residents recall overwhelm police force last year fail respond call help say police since improve fear still challenge meirav cohen year old teacher live mix build welcome jewish residents organise self defence choice want year ago say eran nissan head leftwing israeli group mehazkim say formation militias lod reflect fact israel dangerous juncture especially light current escalation arm society hard disarm say
37,0,0,nsw victoria scrap covid isolation requirements household close contact covid restrictions ease state friday victoria confident reach peak omicron wave household contact confirm covid case victoria new south wales longer require isolate state announce significant ease restrictions end week nsw premier dominic perrottet announce wednesday friday live positive case deem close contact longer quarantine seven days provide symptoms need undertake daily rapid antigen test wear mask indoors avoid contact elderly immunocompromised people work home possible also unable visit high risk settings age care home hospitals disability correctional facilities unless exemption apply perrottet also announce public health order require key workplaces vaccinate lift base instead risk assessments occupational work health safety rule order require age care disability workers vaccinate remain force however april unvaccinated international travellers arrive nsw require undertake hotel quarantine end pandemic always tailor restrictions say outset last two years circumstances find perrottet say today day people state nsw incredibly proud incredibly low death rate put downward pressure health system efforts sacrifice people make victoria health minister martin foley announce close contact longer quarantine provide wear mask indoors avoid sensitive settings hospitals age care home undertake five negative rapid antigen test seven day period new restrictions come effect friday patrons longer need show proof vaccination status enter hospitality entertainment venues check qr cod longer require anywhere mask require public transport taxis rideshares airports health age care justice setttings quarantine also scrap unvaccinated international arrivals recently open purpose build quarantine facility mickleham largely use covid positive people cannot safely isolate home unlike nsw exist vaccination mandate workers remain victoria victoria chief health officer brett sutton say authorities would work individual industries come months transition away mandate say wednesday announcement possible due state high vaccination rate victorians age older double vaccinate three dose today significant day victorians wholesale change appropriate next step phase management pandemic say saturday absolutely focus individual discretion us community make appropriate choices sign receive email top stories guardian australia every morning sutton confident state reach peak latest omicron outbreak despite slight jump case number victoria record deaths new infections wednesday nsw record deaths case today blip think people defer rat test pcr test holiday nsw blip today think smooth next days see plateau phase sutton say long tail slow decline go see dramatic drop number anticipate change close contact rule would lead spike new infections go big driver case number sutton say need compliance people follow suit
